32,34,27,39,28,32,27,30,34,29
30,0,28,32,26,0,30,0,27,29
6,11,9,2,4,6,0,7,7,13
30,33,32,28,24,30,31,29,41,33
49,46,47,41,47,51,54,46,52,44
40,47,45,34,39,42,2,46,44,49
0,27,30,31,28,27,0,32,35,23
28,30,17,34,0,22,40,46,42,0
21,3,34,1,0,30,36,15,39,0
9,6,8,10,36,42,19,8,30,21
1,0,3,5,20,10,13,6,0,0
0,6,0,0,29,34,0,33,37,1
1,38,2,34,34,37,41,1,29,34
34,27,9,20,5,6,21,19,1,3
4,3,3,0,1,2,4,7,4,3
3,0,3,0,2,3,1,2,3,2
3,2,0,4,3,3,7,5,2,5
4,2,2,5,2,1,2,4,5,3
0,0,0,0,0,0,0,0,0,0
2,4,5,5,3,4,4,1,5,2
6,4,3,4,1,6,2,1,1,4
0,0,0,0,2,1,1,1,0,1
0,0,0,1,0,2,1,1,1,1
1,0,0,2,1,2,0,2,2,3
4,7,2,4,4,7,3,4,4,3
0,0,0,0,0,0,0,1,3,0
3,3,0,1,1,0,3,0,1,0
0,0,3,4,2,0,2,3,6,0
7,8,12,13,1,0,7,5,0,7
0,5,10,5,0,3,0,14,11,9
34,31,18,0,13,26,11,22,15,21
0,4,4,2,0,5,3,5,1,2
9,4,5,9,18,11,15,11,7,13
1,1,2,0,0,4,0,1,1,1
3,1,3,5,7,6,3,1,5,2
4,3,3,6,3,5,11,6,4,4
0,0,2,0,0,1,0,2,0,0
12,18,9,12,11,8,5,8,0,12
2,6,3,4,1,4,3,0,4,2
8,7,9,9,11,10,7,0,0,5
1,0,0,0,2,0,0,0,3,0
7,2,3,2,1,4,2,6,3,0
25,21,21,24,22,18,21,26,21,24
17,18,24,17,26,22,23,20,20,17
26,26,27,27,20,23,24,1,22,21
55,45,49,49,57,58,35,42,50,50
21,19,25,25,21,22,23,21,23,24
10,8,5,8,4,5,4,3,7,10
21,9,16,21,0,0,17,19,22,18
0,12,19,27,0,12,0,0,18,7
34,35,27,27,4,21,0,28,25,34
