29,31,34,24,35,25,35,36,34,32
27,0,24,22,24,0,32,0,21,29
55,48,50,51,56,48,2,54,52,45
31,30,31,30,32,36,33,32,26,29
13,9,13,20,13,7,11,14,7,13
23,20,16,21,20,20,1,13,20,16
0,31,24,24,22,24,0,28,27,25
16,14,13,15,2,11,31,28,26,1
3,0,6,0,0,5,1,0,3,1
2,15,9,5,19,19,14,11,13,14
1,1,12,8,41,23,27,28,1,0
1,3,2,4,22,29,1,28,31,6
1,20,4,13,21,26,18,0,13,18
22,19,7,8,2,11,8,11,1,2
9,8,10,10,10,9,8,10,10,11
9,1,9,7,9,11,11,10,10,10
10,11,10,9,10,10,7,9,9,9
8,10,9,7,9,8,10,10,10,8
8,9,9,10,11,9,11,9,9,8
9,10,9,10,9,10,10,11,10,10
9,10,10,11,10,11,11,11,10,9
8,9,7,9,9,8,9,9,9,9
8,9,9,10,10,10,8,10,8,10
9,11,11,10,11,9,9,10,10,10
9,5,7,9,7,7,6,8,8,8
10,9,10,9,9,9,9,9,9,9
9,10,4,8,7,7,9,2,8,9
9,9,9,8,9,9,9,8,8,9
58,66,69,64,51,2,62,67,1,62
0,33,42,43,0,38,3,46,43,46
57,49,57,0,52,57,61,56,50,55
1,21,25,24,0,25,25,27,28,25
64,54,67,56,65,60,65,60,60,71
49,55,61,66,57,61,0,58,54,62
72,72,75,72,71,75,73,69,70,74
26,28,30,26,25,26,28,30,24,26
0,25,26,28,26,27,24,26,24,19
55,51,52,57,57,56,58,47,0,55
20,18,23,20,25,21,24,23,15,24
21,22,24,25,15,22,21,0,0,21
10,11,2,2,17,2,0,0,7,1
25,22,21,22,22,23,21,17,18,0
20,20,21,22,26,27,24,23,22,22
27,25,22,27,23,24,22,19,24,27
21,20,19,17,23,22,23,1,23,22
52,51,55,56,49,49,61,56,51,49
23,26,21,19,24,23,21,26,17,21
32,33,33,33,34,33,33,34,31,30
18,11,15,13,2,1,17,16,18,16
1,43,46,46,2,47,1,1,44,38
60,64,62,58,26,62,2,62,64,66
21,1,24,18,22,26,26,27,24,24
54,59,0,54,61,0,51,57,1,40
21,27,27,36,42,35,20,32,29,21
70,72,70,68,69,74,72,68,69,71
63,64,58,55,61,55,52,1,60,1
10,18,13,17,12,13,12,17,17,13
15,16,14,17,15,14,12,14,20,9
4,6,3,7,4,4,4,4,6,6
28,33,26,26,30,26,27,29,28,27
22,20,21,20,17,16,20,21,20,18
18,21,19,23,21,20,22,17,23,19
14,16,12,0,9,11,12,7,14,10
0,0,5,0,1,0,0,0,10,0
3,22,1,12,3,0,23,1,1,8
3,3,5,7,0,0,1,0,4,0
0,0,13,9,13,0,12,0,14,0
8,15,2,12,10,8,15,12,11,13
28,26,32,29,33,29,32,32,35,29
10,0,2,0,0,8,9,1,0,0
63,67,65,63,59,63,1,64,66,67
67,67,67,67,66,67,65,66,65,67
59,59,63,62,63,61,61,58,1,62
83,86,87,84,85,86,87,83,85,85
68,67,67,66,67,65,66,68,66,65
66,68,68,66,68,67,1,68,66,67
66,68,66,67,68,68,67,67,67,68
76,73,77,77,70,71,72,68,72,75
86,86,87,83,84,86,86,87,84,84
55,57,57,56,55,59,56,55,58,58
81,79,85,79,82,84,83,82,84,83
77,80,83,82,82,76,78,79,80,74
74,72,74,76,65,69,77,77,68,74
74,74,72,73,71,81,70,69,71,75
1,16,17,0,0,0,24,0,21,20
22,0,12,4,6,1,1,1,1,0
33,32,33,34,33,37,35,34,31,39
19,21,18,20,1,20,24,23,31,34
24,15,23,1,25,26,19,25,0,4
7,7,8,10,6,1,9,8,5,16
24,24,25,26,20,32,28,22,23,23
58,62,59,60,60,59,59,58,63,61
38,33,37,37,38,41,33,35,41,37
39,34,37,40,44,40,37,37,34,39
35,36,30,35,30,29,1,32,38,34
56,60,57,63,58,58,62,61,60,56
3,10,11,33,33,0,1,1,37,1
53,60,55,58,54,58,58,52,50,47
55,49,66,64,62,52,1,50,53,57
86,83,87,84,88,82,86,86,86,87
1,0,50,43,2,1,53,0,2,43
16,2,7,12,1,19,16,16,10,4
1,1,1,61,62,2,61,50,1,4
49,31,53,8,15,1,1,1,58,43
49,60,0,0,54,2,2,54,2,3
1,1,2,7,4,0,1,10,0,0
21,20,18,19,18,19,20,20,18,18
72,74,73,73,1,75,74,73,72,66
18,15,18,18,19,19,19,18,19,15
19,17,0,16,17,15,18,18,16,15
16,19,17,17,17,19,17,19,18,19
16,20,16,14,0,20,16,15,16,16
11,0,8,1,0,2,0,0,0,4
11,11,10,11,9,11,11,10,11,10
3,1,1,1,9,8,1,2,8,1
7,2,0,4,5,4,2,9,7,0
7,0,4,7,9,4,1,1,4,5
0,0,0,6,0,1,2,1,2,0
4,1,0,1,0,4,4,3,10,3
1,4,2,6,7,3,1,6,5,1
9,7,10,8,9,10,10,9,10,9
14,13,14,14,14,14,14,12,14,13
12,12,12,12,12,10,11,11,12,1
12,12,12,12,12,11,12,11,11,12
12,12,12,12,12,10,12,12,11,12
12,12,12,11,10,12,12,10,10,12
53,55,56,54,56,52,56,56,57,54
52,55,56,57,54,56,55,59,57,54
47,48,49,42,44,50,46,0,47,46
51,56,55,1,52,56,54,56,49,53
52,57,55,54,58,55,58,58,52,51
58,57,57,57,55,59,56,58,52,54
54,56,59,56,58,56,54,58,55,57
50,49,50,46,47,52,49,51,46,48
52,53,54,55,54,56,48,52,52,54
47,51,52,50,50,50,52,49,43,49
50,48,50,46,49,51,46,50,46,49
38,45,45,42,47,42,38,46,39,45
49,46,48,46,43,49,46,48,47,50
45,48,50,46,51,49,41,48,48,46
22,29,28,31,28,28,25,28,27,27
29,31,27,27,27,29,29,30,26,26
14,11,15,15,16,10,17,14,13,15
63,56,58,58,60,62,61,56,57,59
36,34,31,35,33,34,35,35,32,34
29,33,33,32,32,33,33,28,30,28
29,28,28,24,25,28,28,32,24,30
48,64,60,54,61,51,59,0,59,54
72,74,76,73,74,71,70,71,75,73
23,22,28,24,25,23,27,25,24,32
38,34,32,30,40,23,34,32,34,42
52,53,54,52,50,43,53,50,56,47
56,53,55,50,51,53,56,55,52,52
53,61,56,56,61,56,59,57,59,54
11,2,1,1,1,2,1,3,2,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,1,0,0
1,5,3,5,1,1,1,1,1,1
19,2,29,36,7,9,1,27,1,13
0,2,1,2,1,1,1,1,0,2
69,76,69,63,73,78,77,70,1,73
28,31,33,31,32,28,32,33,32,29
35,1,1,1,32,28,31,30,1,32
60,64,60,63,3,70,62,63,62,65
21,31,12,5,19,25,19,24,14,22
25,28,1,30,29,28,23,25,31,30
0,1,1,5,10,2,2,1,1,8
28,24,21,26,25,23,26,31,26,29
58,53,59,49,59,58,0,0,55,52
58,61,60,54,59,59,57,63,61,61
47,47,50,51,56,52,54,52,49,55
0,69,66,79,73,1,70,69,73,69
50,47,57,50,57,54,55,1,0,57
