avg_node_degree,gain_resistance_chance,num_nodes,recovery_chance,virus_check_frequency,virus_spread_chance,scenario,policy,model
3.0,0.18701171875,57.0,0.70908203125,0.35224609375000004,0.91650390625,0,None,VirusOnNetwork
2.0,0.18701171875,57.0,0.70908203125,0.35224609375000004,0.91650390625,1,None,VirusOnNetwork
3.0,0.90947265625,57.0,0.70908203125,0.35224609375000004,0.91650390625,2,None,VirusOnNetwork
3.0,0.18701171875,55.0,0.70908203125,0.35224609375000004,0.91650390625,3,None,VirusOnNetwork
3.0,0.18701171875,57.0,0.16240234375,0.35224609375000004,0.91650390625,4,None,VirusOnNetwork
3.0,0.18701171875,57.0,0.70908203125,0.17646484375,0.91650390625,5,None,VirusOnNetwork
3.0,0.18701171875,57.0,0.70908203125,0.35224609375000004,0.32939453125,6,None,VirusOnNetwork
3.0,0.90947265625,55.0,0.16240234375,0.17646484375,0.32939453125,7,None,VirusOnNetwork
2.0,0.18701171875,55.0,0.16240234375,0.17646484375,0.32939453125,8,None,VirusOnNetwork
2.0,0.90947265625,57.0,0.16240234375,0.17646484375,0.32939453125,9,None,VirusOnNetwork
2.0,0.90947265625,55.0,0.70908203125,0.17646484375,0.32939453125,10,None,VirusOnNetwork
2.0,0.90947265625,55.0,0.16240234375,0.35224609375000004,0.32939453125,11,None,VirusOnNetwork
2.0,0.90947265625,55.0,0.16240234375,0.17646484375,0.91650390625,12,None,VirusOnNetwork
2.0,0.90947265625,55.0,0.16240234375,0.17646484375,0.32939453125,13,None,VirusOnNetwork
7.0,0.63701171875,11.0,0.25908203125,0.80224609375,0.46650390625000004,14,None,VirusOnNetwork
5.0,0.63701171875,11.0,0.25908203125,0.80224609375,0.46650390625000004,15,None,VirusOnNetwork
7.0,0.45947265625,11.0,0.25908203125,0.80224609375,0.46650390625000004,16,None,VirusOnNetwork
7.0,0.63701171875,10.0,0.25908203125,0.80224609375,0.46650390625000004,17,None,VirusOnNetwork
7.0,0.63701171875,11.0,0.61240234375,0.80224609375,0.46650390625000004,18,None,VirusOnNetwork
7.0,0.63701171875,11.0,0.25908203125,0.62646484375,0.46650390625000004,19,None,VirusOnNetwork
7.0,0.63701171875,11.0,0.25908203125,0.80224609375,0.77939453125,20,None,VirusOnNetwork
7.0,0.45947265625,10.0,0.61240234375,0.62646484375,0.77939453125,21,None,VirusOnNetwork
5.0,0.63701171875,10.0,0.61240234375,0.62646484375,0.77939453125,22,None,VirusOnNetwork
5.0,0.45947265625,11.0,0.61240234375,0.62646484375,0.77939453125,23,None,VirusOnNetwork
5.0,0.45947265625,10.0,0.25908203125,0.62646484375,0.77939453125,24,None,VirusOnNetwork
5.0,0.45947265625,10.0,0.61240234375,0.80224609375,0.77939453125,25,None,VirusOnNetwork
5.0,0.45947265625,10.0,0.61240234375,0.62646484375,0.46650390625000004,26,None,VirusOnNetwork
5.0,0.45947265625,10.0,0.61240234375,0.62646484375,0.77939453125,27,None,VirusOnNetwork
8.0,0.41201171875,79.0,0.93408203125,0.57724609375,0.24150390625,28,None,VirusOnNetwork
4.0,0.41201171875,79.0,0.93408203125,0.57724609375,0.24150390625,29,None,VirusOnNetwork
8.0,0.23447265625000002,79.0,0.93408203125,0.57724609375,0.24150390625,30,None,VirusOnNetwork
8.0,0.41201171875,32.0,0.93408203125,0.57724609375,0.24150390625,31,None,VirusOnNetwork
8.0,0.41201171875,79.0,0.83740234375,0.57724609375,0.24150390625,32,None,VirusOnNetwork
8.0,0.41201171875,79.0,0.93408203125,0.85146484375,0.24150390625,33,None,VirusOnNetwork
8.0,0.41201171875,79.0,0.93408203125,0.57724609375,0.55439453125,34,None,VirusOnNetwork
8.0,0.23447265625000002,32.0,0.83740234375,0.85146484375,0.55439453125,35,None,VirusOnNetwork
4.0,0.41201171875,32.0,0.83740234375,0.85146484375,0.55439453125,36,None,VirusOnNetwork
4.0,0.23447265625000002,79.0,0.83740234375,0.85146484375,0.55439453125,37,None,VirusOnNetwork
4.0,0.23447265625000002,32.0,0.93408203125,0.85146484375,0.55439453125,38,None,VirusOnNetwork
4.0,0.23447265625000002,32.0,0.83740234375,0.57724609375,0.55439453125,39,None,VirusOnNetwork
4.0,0.23447265625000002,32.0,0.83740234375,0.85146484375,0.24150390625,40,None,VirusOnNetwork
4.0,0.23447265625000002,32.0,0.83740234375,0.85146484375,0.55439453125,41,None,VirusOnNetwork
5.0,0.86201171875,34.0,0.48408203125000004,0.12724609375,0.69150390625,42,None,VirusOnNetwork
7.0,0.86201171875,34.0,0.48408203125000004,0.12724609375,0.69150390625,43,None,VirusOnNetwork
5.0,0.68447265625,34.0,0.48408203125000004,0.12724609375,0.69150390625,44,None,VirusOnNetwork
5.0,0.86201171875,78.0,0.48408203125000004,0.12724609375,0.69150390625,45,None,VirusOnNetwork
5.0,0.86201171875,34.0,0.38740234375000004,0.12724609375,0.69150390625,46,None,VirusOnNetwork
5.0,0.86201171875,34.0,0.48408203125000004,0.40146484375,0.69150390625,47,None,VirusOnNetwork
5.0,0.86201171875,34.0,0.48408203125000004,0.12724609375,0.10439453125,48,None,VirusOnNetwork
5.0,0.68447265625,78.0,0.38740234375000004,0.40146484375,0.10439453125,49,None,VirusOnNetwork
7.0,0.86201171875,78.0,0.38740234375000004,0.40146484375,0.10439453125,50,None,VirusOnNetwork
7.0,0.68447265625,34.0,0.38740234375000004,0.40146484375,0.10439453125,51,None,VirusOnNetwork
7.0,0.68447265625,78.0,0.48408203125000004,0.40146484375,0.10439453125,52,None,VirusOnNetwork
7.0,0.68447265625,78.0,0.38740234375000004,0.12724609375,0.10439453125,53,None,VirusOnNetwork
7.0,0.68447265625,78.0,0.38740234375000004,0.40146484375,0.69150390625,54,None,VirusOnNetwork
7.0,0.68447265625,78.0,0.38740234375000004,0.40146484375,0.10439453125,55,None,VirusOnNetwork
4.0,0.52451171875,23.0,0.37158203125,0.23974609375,0.80400390625,56,None,VirusOnNetwork
4.0,0.52451171875,23.0,0.37158203125,0.23974609375,0.80400390625,57,None,VirusOnNetwork
4.0,0.12197265625,23.0,0.37158203125,0.23974609375,0.80400390625,58,None,VirusOnNetwork
4.0,0.52451171875,44.0,0.37158203125,0.23974609375,0.80400390625,59,None,VirusOnNetwork
4.0,0.52451171875,23.0,0.72490234375,0.23974609375,0.80400390625,60,None,VirusOnNetwork
4.0,0.52451171875,23.0,0.37158203125,0.96396484375,0.80400390625,61,None,VirusOnNetwork
4.0,0.52451171875,23.0,0.37158203125,0.23974609375,0.21689453125000002,62,None,VirusOnNetwork
4.0,0.12197265625,44.0,0.72490234375,0.96396484375,0.21689453125000002,63,None,VirusOnNetwork
4.0,0.52451171875,44.0,0.72490234375,0.96396484375,0.21689453125000002,64,None,VirusOnNetwork
4.0,0.12197265625,23.0,0.72490234375,0.96396484375,0.21689453125000002,65,None,VirusOnNetwork
4.0,0.12197265625,44.0,0.37158203125,0.96396484375,0.21689453125000002,66,None,VirusOnNetwork
4.0,0.12197265625,44.0,0.72490234375,0.23974609375,0.21689453125000002,67,None,VirusOnNetwork
4.0,0.12197265625,44.0,0.72490234375,0.96396484375,0.80400390625,68,None,VirusOnNetwork
4.0,0.12197265625,44.0,0.72490234375,0.96396484375,0.21689453125000002,69,None,VirusOnNetwork
7.0,0.97451171875,68.0,0.82158203125,0.68974609375,0.35400390625,70,None,VirusOnNetwork
8.0,0.97451171875,68.0,0.82158203125,0.68974609375,0.35400390625,71,None,VirusOnNetwork
7.0,0.57197265625,68.0,0.82158203125,0.68974609375,0.35400390625,72,None,VirusOnNetwork
7.0,0.97451171875,89.0,0.82158203125,0.68974609375,0.35400390625,73,None,VirusOnNetwork
7.0,0.97451171875,68.0,0.27490234375,0.68974609375,0.35400390625,74,None,VirusOnNetwork
7.0,0.97451171875,68.0,0.82158203125,0.5139648437500001,0.35400390625,75,None,VirusOnNetwork
7.0,0.97451171875,68.0,0.82158203125,0.68974609375,0.66689453125,76,None,VirusOnNetwork
7.0,0.57197265625,89.0,0.27490234375,0.5139648437500001,0.66689453125,77,None,VirusOnNetwork
8.0,0.97451171875,89.0,0.27490234375,0.5139648437500001,0.66689453125,78,None,VirusOnNetwork
8.0,0.57197265625,68.0,0.27490234375,0.5139648437500001,0.66689453125,79,None,VirusOnNetwork
8.0,0.57197265625,89.0,0.82158203125,0.5139648437500001,0.66689453125,80,None,VirusOnNetwork
8.0,0.57197265625,89.0,0.27490234375,0.68974609375,0.66689453125,81,None,VirusOnNetwork
8.0,0.57197265625,89.0,0.27490234375,0.5139648437500001,0.35400390625,82,None,VirusOnNetwork
8.0,0.57197265625,89.0,0.27490234375,0.5139648437500001,0.66689453125,83,None,VirusOnNetwork
6.0,0.29951171875000004,45.0,0.14658203125000002,0.91474609375,0.12900390625,84,None,VirusOnNetwork
3.0,0.29951171875000004,45.0,0.14658203125000002,0.91474609375,0.12900390625,85,None,VirusOnNetwork
6.0,0.79697265625,45.0,0.14658203125000002,0.91474609375,0.12900390625,86,None,VirusOnNetwork
6.0,0.29951171875000004,66.0,0.14658203125000002,0.91474609375,0.12900390625,87,None,VirusOnNetwork
6.0,0.29951171875000004,45.0,0.49990234375,0.91474609375,0.12900390625,88,None,VirusOnNetwork
6.0,0.29951171875000004,45.0,0.14658203125000002,0.28896484375,0.12900390625,89,None,VirusOnNetwork
6.0,0.29951171875000004,45.0,0.14658203125000002,0.91474609375,0.89189453125,90,None,VirusOnNetwork
6.0,0.79697265625,66.0,0.49990234375,0.28896484375,0.89189453125,91,None,VirusOnNetwork
3.0,0.29951171875000004,66.0,0.49990234375,0.28896484375,0.89189453125,92,None,VirusOnNetwork
3.0,0.79697265625,45.0,0.49990234375,0.28896484375,0.89189453125,93,None,VirusOnNetwork
3.0,0.79697265625,66.0,0.14658203125000002,0.28896484375,0.89189453125,94,None,VirusOnNetwork
3.0,0.79697265625,66.0,0.49990234375,0.91474609375,0.89189453125,95,None,VirusOnNetwork
3.0,0.79697265625,66.0,0.49990234375,0.28896484375,0.12900390625,96,None,VirusOnNetwork
3.0,0.79697265625,66.0,0.49990234375,0.28896484375,0.89189453125,97,None,VirusOnNetwork
2.0,0.74951171875,91.0,0.59658203125,0.46474609375,0.57900390625,98,None,VirusOnNetwork
6.0,0.74951171875,91.0,0.59658203125,0.46474609375,0.57900390625,99,None,VirusOnNetwork
2.0,0.34697265625,91.0,0.59658203125,0.46474609375,0.57900390625,100,None,VirusOnNetwork
2.0,0.74951171875,21.0,0.59658203125,0.46474609375,0.57900390625,101,None,VirusOnNetwork
2.0,0.74951171875,91.0,0.94990234375,0.46474609375,0.57900390625,102,None,VirusOnNetwork
