0,70,0,0,0
0,0,195,0,56
0,0,0,0,656
0,0,0,47,0
0,58,0,0,267
26,0,0,162,0
17,0,0,0,0
0,249,0,0,0
17,0,300,89,0
0,43,0,0,0
0,0,425,0,201
153,153,0,0,0
103,395,32,0,0
0,113,0,883,101
93,322,46,0,0
0,223,435,25,0
307,130,0,0,0
0,299,0,79,0
0,1,0,0,0
24,0,46,29,0
0,302,0,0,686
103,0,25,0,0
53,75,0,0,27
0,16,0,0,0
0,0,0,0,96
0,0,0,0,0
39,0,212,37,0
0,0,0,0,245
0,0,405,0,0
0,0,91,0,219
71,0,0,0,110
0,0,0,139,228
0,146,0,17,0
0,0,0,107,0
0,99,0,0,0
0,247,0,0,0
0,641,420,0,0
0,241,12,277,0
233,0,0,172,7
0,0,0,97,0
0,88,55,0,0
0,0,267,333,9
0,0,0,0,30
0,0,319,0,0
23,127,0,0,0
0,0,12,0,676
229,0,0,0,283
0,0,132,15,50
0,21,0,0,0
0,6,0,0,95
425,24,0,187,92
0,0,0,22,120
150,126,0,110,0
375,31,0,0,376
0,0,0,0,4
0,0,0,0,0
0,7,0,186,0
0,0,453,0,0
0,0,39,0,0
0,0,191,0,0
0,158,0,135,0
157,0,271,0,79
0,0,0,278,0
200,0,0,0,0
198,0,325,454,0
291,48,37,134,275
61,0,0,0,0
0,43,0,0,218
0,0,0,0,0
0,0,27,0,0
0,88,0,0,112
0,0,335,0,0
0,0,0,0,0
0,144,0,152,0
0,534,51,0,61
288,196,349,0,76
0,0,43,94,0
0,0,0,0,0
16,0,216,86,55
12,0,0,0,0
62,0,0,0,128
0,0,0,0,0
5,0,2,211,518
0,0,0,557,0
0,117,0,0,466
0,0,0,0,0
20,0,151,0,0
49,224,105,0,55
0,0,0,0,0
0,384,0,18,0
0,63,94,0,0
0,322,0,0,0
0,0,0,628,0
0,0,0,294,136
128,43,84,11,34
0,35,0,0,0
144,0,0,137,0
33,0,0,205,0
44,557,72,0,0
0,124,0,91,203
0,0,0,0,0
381,85,0,0,103
368,144,0,0,0
0,154,0,0,0
0,70,0,0,0
0,0,0,0,12
25,0,29,0,132
0,0,0,0,218
12,9,0,0,45
60,0,398,206,0
0,0,143,29,0
239,36,0,245,0
140,0,43,57,0
0,0,0,22,0
0,125,0,88,51
0,0,0,151,124
0,198,63,180,15
23,607,0,0,0
0,16,0,0,0
75,0,0,0,66
72,0,0,0,62
0,0,0,0,75
17,0,0,0,0
0,107,21,0,87
0,0,0,0,0
0,13,0,0,225
0,0,238,17,151
0,279,105,0,0
0,0,0,0,73
0,60,0,0,0
0,152,432,0,0
0,115,0,0,0
0,21,0,0,240
0,103,7,0,0
54,70,0,340,0
0,0,121,0,207
0,328,0,207,0
0,0,634,0,324
72,0,0,0,107
0,38,0,152,0
165,0,0,0,0
0,16,0,0,0
146,0,0,593,0
1,0,24,0,0
119,0,65,0,143
0,0,0,0,0
0,91,536,0,888
0,0,221,0,0
0,0,310,0,169
0,0,0,0,0
0,0,0,0,0
46,152,0,0,176
0,0,0,0,0
0,0,87,0,677
9,0,37,0,279
204,299,15,245,0
37,6,0,0,96
92,0,146,0,0
0,0,0,0,228
0,0,0,0,156
0,0,0,0,0
0,91,207,64,55
0,0,594,0,0
220,128,0,155,0
0,0,52,0,0
0,240,201,61,40
0,28,246,0,142
0,0,178,50,0
478,0,3,0,143
0,0,184,0,0
149,177,231,0,0
0,173,0,8,0
0,0,0,147,49
0,0,0,0,404
220,0,0,0,0
0,103,250,0,0
0,117,0,0,0
0,46,0,0,0
0,0,0,0,80
0,0,0,122,229
0,455,147,0,0
0,118,0,0,0
57,0,450,0,0
140,2,308,84,97
0,0,0,0,0
0,0,26,0,0
0,275,0,0,0
0,171,0,0,7
0,0,0,37,96
153,159,0,0,0
0,0,0,0,0
0,0,0,0,0
60,0,0,0,0
0,0,0,0,0
0,39,146,506,0
0,171,0,0,0
0,0,0,9,0
58,135,0,0,69
110,0,0,0,234
0,0,22,0,88
0,0,26,0,0
0,0,0,207,120
0,0,0,0,0
71,0,172,497,97
0,0,0,194,0
0,10,0,0,86
0,0,14,0,0
0,0,0,0,0
0,0,0,14,127
456,0,40,0,0
195,22,0,33,0
0,256,0,0,0
0,158,272,0,0
0,0,141,0,0
0,0,144,317,0
125,0,0,47,605
0,450,0,113,8
26,0,0,593,77
55,192,0,0,0
259,0,0,0,0
342,0,0,0,334
121,0,315,0,0
0,108,160,0,66
0,182,23,129,0
253,0,0,0,0
0,219,233,0,0
87,0,0,470,0
9,0,0,0,321
0,56,0,80,53
385,0,0,71,0
0,0,0,4,0
16,0,0,0,0
132,0,190,436,148
0,0,55,0,0
0,312,0,326,0
0,78,0,19,3
207,0,31,146,0
96,0,164,28,105
0,0,0,4,0
0,0,0,23,0
606,127,19,115,0
0,116,302,42,0
0,0,26,0,20
0,0,0,38,0
0,142,0,0,0
84,75,52,0,65
0,130,0,0,0
29,0,250,18,228
152,124,41,0,255
30,46,0,0,454
681,23,27,0,131
0,52,483,0,0
0,0,0,0,0
0,80,0,0,320
129,0,123,35,0
64,416,0,0,211
79,0,0,152,0
229,0,221,335,0
0,94,25,0,0
166,36,0,511,0
0,75,0,20,0
0,0,0,381,0
0,0,0,28,0
176,59,137,0,0
0,0,113,0,76
0,0,241,0,134
0,0,0,135,229
85,1062,70,37,0
0,0,50,0,0
0,392,0,0,0
0,0,0,0,49
41,493,0,136,136
0,0,337,0,0
0,0,0,0,0
0,0,0,0,236
0,70,0,345,0
948,239,434,0,0
0,257,404,0,0
84,58,121,0,0
0,0,307,0,0
0,141,0,1,0
19,0,284,103,6
0,0,0,0,0
113,0,0,0,0
0,0,0,0,0
0,0,0,240,0
8,61,0,0,363
0,0,0,17,0
0,0,445,0,0
0,58,203,0,356
0,0,0,81,0
0,0,0,0,93
98,0,0,0,0
0,0,198,0,226
0,0,160,192,0
0,0,0,292,118
22,0,0,0,151
0,0,0,0,107
0,39,0,0,184
258,91,0,0,130
0,0,187,0,154
0,0,0,0,0
138,0,215,0,0
134,139,0,189,0
0,0,0,0,0
0,26,0,0,0
0,0,0,0,39
21,68,444,0,0
0,0,0,0,0
105,113,0,202,0
0,0,0,0,0
14,0,0,0,0
43,0,0,37,0
0,0,0,0,0
72,30,39,89,0
354,0,0,235,479
0,0,0,100,60
200,0,0,45,26
0,141,90,0,53
219,0,0,0,355
0,148,0,6,407
134,0,0,0,67
0,0,0,0,0
233,0,0,0,0
154,0,127,102,117
0,0,0,0,0
386,201,0,0,0
0,167,82,0,48
17,0,43,119,0
0,110,0,0,0
0,0,780,252,234
308,0,0,106,128
348,0,0,0,0
0,0,0,148,0
0,76,0,0,0
0,0,0,0,104
185,0,330,0,0
0,83,0,0,0
0,0,0,0,194
0,0,50,264,330
180,0,305,0,100
244,78,0,0,0
45,308,0,175,131
0,63,34,99,0
13,0,0,146,113
241,9,0,0,57
0,0,0,0,308
0,0,204,123,0
0,124,0,0,99
0,396,0,0,203
0,75,16,0,0
0,0,98,0,35
0,151,40,0,22
0,0,0,0,150
0,579,268,0,0
0,38,0,150,0
70,0,0,0,0
