69,83,76,71,67
70,56,61,85,82
73,56,53,71,45
71,73,63,70,77
73,79,71,80,72
96,80,78,71,89
60,70,80,91,81
74,63,78,73,91
71,92,75,74,72
83,87,75,75,81
39,75,77,88,69
68,80,60,88,86
78,76,65,79,70
71,99,66,58,85
69,66,91,61,83
75,69,87,91,65
63,62,72,67,64
91,78,69,81,78
66,48,66,65,72
61,67,50,93,66
88,71,60,85,62
74,66,80,59,82
68,54,86,89,88
61,48,67,84,91
80,67,62,58,66
90,91,95,83,73
78,81,65,71,67
78,63,71,61,64
65,63,56,69,59
75,62,91,78,63
71,67,70,75,78
79,71,79,74,76
87,60,87,79,81
84,54,60,80,71
78,67,66,59,86
80,55,63,79,66
74,52,56,67,67
65,72,82,59,76
72,63,79,86,52
76,85,65,67,68
68,79,76,86,56
79,75,69,68,75
76,79,86,78,76
70,72,59,85,78
99,84,87,76,75
73,78,68,74,80
80,70,69,80,82
84,75,70,55,69
79,69,91,80,82
74,67,97,50,62
60,79,60,65,67
72,73,57,79,61
89,83,63,88,85
78,86,95,70,96
65,85,46,84,72
67,72,67,82,70
75,77,73,68,79
73,77,65,74,64
59,62,75,68,90
88,76,79,79,66
82,69,65,50,74
68,81,53,62,69
61,82,65,73,123
85,106,91,71,97
71,78,87,82,68
71,96,63,68,80
80,77,75,51,69
87,74,68,72,84
67,63,78,77,61
50,77,76,83,67
68,76,73,74,88
86,68,76,49,80
74,90,85,56,70
81,80,80,77,91
69,68,83,84,68
60,72,85,91,82
59,75,84,67,66
70,79,81,72,85
95,83,51,66,81
74,76,68,77,71
81,73,50,79,80
80,74,68,73,68
65,74,68,78,68
67,59,67,61,64
71,84,74,68,51
84,71,75,73,67
74,64,66,76,69
76,62,61,75,72
71,61,91,63,75
76,65,64,72,80
71,53,63,90,95
60,76,86,69,73
55,81,73,71,73
70,66,72,74,72
86,70,73,56,69
75,69,85,69,58
71,71,72,76,81
76,86,72,70,99
67,68,85,75,75
70,80,68,79,93
82,79,91,87,66
76,57,87,80,76
60,59,86,61,91
69,71,71,79,68
79,67,68,72,74
72,85,69,92,81
83,64,82,77,61
77,87,65,57,65
69,69,59,56,79
67,74,67,80,76
84,74,67,61,84
66,61,75,89,64
60,56,65,70,81
93,62,62,71,79
77,59,88,68,89
77,75,71,71,64
76,78,76,74,91
62,80,76,64,77
68,75,70,93,74
87,81,48,55,76
63,78,76,67,84
68,72,59,71,73
68,85,71,70,67
67,61,54,94,82
85,75,88,54,71
87,59,84,68,84
71,97,69,86,62
79,64,67,72,76
91,70,66,64,62
81,71,90,65,76
79,72,55,75,75
78,60,62,75,71
74,66,62,78,72
83,62,88,86,77
76,80,69,61,50
76,68,62,58,65
78,62,67,68,85
85,81,62,88,62
75,83,76,66,80
53,69,80,67,70
76,71,82,72,63
77,72,93,75,76
72,86,64,67,84
69,81,46,82,59
56,97,72,71,75
94,67,88,73,76
77,65,75,95,75
75,61,73,72,68
67,78,75,73,67
53,85,75,75,76
66,63,71,56,85
76,75,87,65,86
62,74,70,72,58
86,89,58,102,72
80,58,74,54,71
80,85,72,70,74
75,85,91,85,83
87,82,66,77,75
86,67,95,71,64
94,59,60,80,66
74,74,71,67,77
80,73,73,78,76
71,84,66,90,67
86,69,84,67,93
73,57,62,80,70
73,70,76,78,67
65,61,72,74,82
68,83,77,82,81
77,76,84,74,69
58,82,77,96,57
76,59,63,82,67
74,80,79,91,75
81,83,86,73,85
81,76,86,93,67
67,61,59,68,76
79,65,71,94,86
84,84,92,74,82
69,79,88,60,75
86,75,98,81,91
68,71,82,65,72
63,63,65,69,54
78,75,65,61,82
80,69,83,68,81
68,90,63,75,80
73,70,73,74,80
71,58,71,69,69
69,62,82,81,60
81,99,71,72,58
101,73,76,86,71
79,73,68,81,68
50,77,63,66,67
83,73,72,93,81
76,61,78,84,64
77,77,69,67,76
88,84,68,62,81
97,71,69,88,93
74,47,71,56,76
65,79,77,71,70
79,68,85,71,64
74,68,62,66,74
71,65,72,87,77
46,74,71,65,78
76,83,62,67,66
58,93,67,60,70
69,91,90,67,91
74,68,64,69,86
67,78,87,89,75
90,81,86,83,87
71,73,76,64,78
72,81,67,68,79
86,82,66,84,80
62,67,71,63,73
79,71,96,82,90
66,83,53,58,62
75,64,93,66,83
75,76,80,78,66
63,68,51,64,68
91,61,74,63,95
57,58,86,71,57
84,68,73,84,65
66,92,93,104,75
67,73,93,82,64
73,55,79,69,73
68,86,79,61,58
65,70,76,63,62
85,70,74,68,90
59,89,55,63,67
89,67,87,90,59
77,65,80,67,79
78,84,58,71,90
86,75,98,67,82
89,70,70,62,60
67,86,65,57,77
81,64,60,79,83
69,82,71,63,62
68,76,81,70,58
60,80,86,70,110
79,68,76,73,79
78,55,76,56,80
49,79,67,67,82
82,80,77,68,74
65,74,72,81,71
68,66,79,68,61
71,64,70,64,76
56,62,51,88,73
61,67,74,80,72
89,67,77,96,62
81,68,60,68,81
77,88,67,80,84
81,97,98,82,71
63,77,71,73,74
75,82,61,69,59
